service	Voice	description_zh	description_en	avaliable_volume	primary_lang	style	role
Aliyun	cuijie	翠姐:东北话女声	cuijie: zh-F	-7.471327836673135	zh	general	Default
Aliyun	laotie	老铁:东北老铁	laotie: zh-M	-6.702711847625817	zh	general	Default
Aliyun	dahu	大虎:东北话男声	dahu: zh-M	-6.246704784463763	zh	general	Default
Aliyun	aikan	艾侃:天津话男声	aikan: zh-M	-6.382197732395168	zh	general	Default
Aliyun	xiaoze	小泽:湖南重口音男声	xiaoze: zh-M	-4.4347897437808825	zh	general	Default
Aliyun	indah	Indah:印尼语女声	indah: id-F	-6.719662937192592	id	general	Default
Aliyun	tala	Tala:菲律宾语女声	tala: fil-F	-1.4252768204553519	fil	general	Default
Aliyun	tien	Tien:越南语女声	tien: vi-F	5.226608188877421	vi	general	Default
Aliyun	farah	Farah:马来语女声	farah: ms-F	-9.187592858400079	ms	general	Default
Aliyun	Kyong	Kyong:韩语女声	Kyong: ko-F	-10.54703062716445	ko	general	Default
Aliyun	masha	masha:俄语女声	masha: ru-F	-7.051917582853978	ru	general	Default
Aliyun	camila	camila:西班牙语女声	camila: es-F	-7.6086016476871485	es	general	Default
Aliyun	perla	perla:意大利语女声	perla: it-F	-7.692964904301155	it	general	Default
Aliyun	tomoka	智香:日语女声	tomoka: jp-F	-7.977285304954833	jp	general	Default
Aliyun	tomoya	智也:日语男声	tomoya: jp-M	-7.751945510628216	jp	general	Default
Aliyun	annie	Annie:美语女声	annie: en-F	-13.112432300478638	en	general	Default
Aliyun	clara	clara:法语女声	clara: fr-F	-7.514986230783148	fr	general	Default
Aliyun	hanna	hanna:德语女声	hanna: de-F	-8.398470350205818	de	general	Default
Aliyun	waan	waan:泰语女声	waan: th-F	-5.933889585103362	th	general	Default
Aliyun	abby	Abby:美音女声	abby: en-F	-11.039152432755099	en	general	Default
Aliyun	harry	Harry:英音男声	harry: en-M	-7.813243504187467	en	general	Default
Aliyun	andy	Andy:美音男声	andy: en-M	-12.708645514086232	en	general	Default
Aliyun	emily	Emily:英音女声	emily: en-F	-12.236362150138017	en	general	Default
Aliyun	luna	Luna:英音女声	luna: en-F	-12.477697075567363	en	general	Default
Aliyun	wendy	Wendy:英音女声	wendy: en-F	-12.873935689329606	en	general	Default
Aliyun	olivia	Olivia:英音女声	olivia: en-F	-6.358157059317351	en	general	Default
Aliyun	eric	Eric:英音男声	eric: en-M	-12.187279953391853	en	general	Default
Aliyun	luca	Luca:英音男声	luca: en-M	-12.854965058370718	en	general	Default
Aliyun	william	William:英音男声	william: en-M	-11.349083656658204	en	general	Default
Aliyun	becca	Becca:美语客服女声	becca: en-F	-1.4082678927523347	en	general	Default
Aliyun	betty	betty:美式英文女声	betty: en-F	-12.726396238792281	en	general	Default
Aliyun	beth	beth:美式英文女声	beth: en-F	-11.74123392650381	en	general	Default
Aliyun	cindy	cindy:美式英文女声	cindy: en-F	-11.060660271884345	en	general	Default
Aliyun	cally	cally:美式英文女声	cally: en-F	-11.321937401710365	en	general	Default
Aliyun	donna	donna:美式英文女声	donna: en-F	-12.59433026211021	en	general	Default
Aliyun	eva	eva:美式英文女声	eva: en-F	-11.557080059195133	en	general	Default
Aliyun	ava	ava:美语女声	ava: en-F	-13.206318865120332	en	general	Default
Aliyun	brian	brian:美式英文男声	brian: en-M	-12.941888927734936	en	general	Default
Aliyun	zhitian	知甜:甜美女声(x)	zhitian: zh-F	-4.757181559575223	zh	general	Default
Aliyun	zhiqing	知青:中国台湾话女生(x)	zhiqing: zh-F	-2.700460442936908	zh	general	Default
Azure	zh-CN-XiaochenNeural	晓辰:女	zh-CN-Xiaochen: F	-3.120519374444516	zh	general	Default
Azure	zh-CN-XiaohanNeural	晓涵:女	zh-CN-Xiaohan: F	1.253774864717741	zh	general,affectionate,angry,calm,cheerful,disgruntled,embarrassed,fearful,gentle,sad,serious	Default
Azure	zh-CN-XiaomoNeural	晓墨:女	zh-CN-Xiaomo: F	-1.5740931811744971	zh	general,affectionate,angry,calm,cheerful,depressed,disgruntled,embarrassed,envious,fearful,gentle,sad,serious	Default,YoungAdultFemale,YoungAdultMale,OlderAdultFemale,OlderAdultMale,SeniorFemale,SeniorMale,Girl,Boy
Azure	zh-CN-XiaoqiuNeural	晓秋:女	zh-CN-Xiaoqiu: F	-1.5657373463424378	zh	general	Default
Azure	zh-CN-XiaoruiNeural	晓睿:女	zh-CN-Xiaorui: F	-0.893917650640649	zh	general,angry,calm,fearful,sad	Default
Azure	zh-CN-XiaoshuangNeural	晓双:女	zh-CN-Xiaoshuang: F	-1.140279232945435	zh	general,chat	Default
Azure	zh-CN-XiaoxiaoNeural	晓晓:女	zh-CN-Xiaoxiao: F	-3.391186898854862	zh	general,affectionate,angry,assistant,calm,chat,cheerful,customerservice,disgruntled,fearful,gentle,lyrical,newscast,poetry-reading,sad,serious,sorry,whisper	Default
Azure	zh-CN-XiaoyanNeural	晓颜:女	zh-CN-Xiaoyan: F	-3.4899933273197945	zh	general	Default
Azure	zh-CN-XiaoyouNeural	晓悠:女	zh-CN-Xiaoyou: F	-1.9313406907281774	zh	general	Default
Azure	zh-CN-XiaoyiNeural	晓伊:女	zh-CN-Xiaoyi: F	-0.8697985386121658	zh	general,affectionate,angry,cheerful,disgruntled,embarrassed,fearful,gentle,sad,serious	Default
Azure	zh-CN-XiaomengNeural	晓梦:女	zh-CN-Xiaomeng: F	-3.1298340022948885	zh	general,chat	Default
Azure	zh-CN-XiaozhenNeural	晓甄:女	zh-CN-Xiaozhen: F	-1.8265120329385134	zh	general,angry,cheerful,disgruntled,fearful,sad,serious	Default
Azure	zh-CN-XiaorouNeural	晓柔:女	zh-CN-Xiaorou: F	-1.9259955277052967	zh	0	0
Azure	zh-CN-YunxiNeural	云希:男	zh-CN-Yunxi: M	1.4211532254921408	zh	general,angry,assistant,cheerful,depressed,disgruntled,embarrassed,fearful,narration-relaxed,sad,serious	Default,Narrator,YoungAdultMale,Boy
Azure	zh-CN-YunyangNeural	云扬:男	zh-CN-Yunyang: M	4.88032068033419	zh	general,customerservice,narration-professional,newscast-casual	Default
Azure	zh-CN-YunyeNeural	云野:男	zh-CN-Yunye: M	0.9098465522732937	zh	general,angry,calm,cheerful,disgruntled,embarrassed,fearful,sad,serious	Default,YoungAdultFemale,YoungAdultMale,OlderAdultFemale,OlderAdultMale,SeniorFemale,SeniorMale,Girl,Boy
Azure	zh-CN-YunjianNeural	云建:男	zh-CN-Yunjian: M	-0.0901162706008023	zh	general,angry,cheerful,depressed,disgruntled,documentary-narration,narration-relaxed,sad,serious,sports-commentary,sports-commentary-excited	Default
Azure	zh-CN-YunfengNeural	云枫:男	zh-CN-Yunfeng: M	2.1762098787091233	zh	general,angry,cheerful,depressed,disgruntled,fearful,sad,serious	Default
Azure	zh-CN-YunhaoNeural	云皓:男	zh-CN-Yunhao: M	-0.6465614866980687	zh	general,advertisement-upbeat	Default
Azure	zh-CN-YunxiaNeural	云夏:男	zh-CN-Yunxia: M	0.14759298145064648	zh	general,angry,calm,cheerful,fearful,sad	Default
Azure	zh-CN-YunzeNeural	云泽:男	zh-CN-Yunze: M	0.8913383636422374	zh	general,angry,calm,cheerful,depressed,disgruntled,documentary-narration,fearful,sad,serious	Default,OlderAdultMale,SeniorMale
Azure	zh-CN-YunjieNeural	云杰:男	zh-CN-Yunjie: M	-0.9089581559366025	zh	general	Default
Azure	zh-CN-XiaochenMultilingualNeural	晓辰多语言:女	zh-CN-Xiaochen-multi: F	-0.6341619276500268	multi	general	Default
Azure	zh-CN-XiaoxiaoMultilingualNeural	晓晓多语言:女	zh-CN-Xiaoxiao-multi: F	-1.0164877365914862	multi	general	Default
Azure	zh-CN-XiaoyuMultilingualNeural	晓宇多语言:女	zh-CN-Xiaoyu-multi: F	-0.76348277263466	multi	general	Default
Azure	zh-CN-YunyiMultilingualNeural	云逸多语言:男	zh-CN-Yunyi-multi: M	0.2637710501007504	multi	general	Default
Azure	zh-CN-XiaoxiaoDialectsNeural	晓晓方言:女	zh-CN-XiaoxiaoDialects: F	-1.5266368124889595	zh	general	Default
Azure	zh-CN-shaanxi-XiaoniNeural	陕西晓妮:女	zh-CN-shaanxi-Xiaoni: F	-2.2126151368462423	zh	general	Default
Azure	zh-CN-liaoning-XiaobeiNeural	辽宁晓北:女	zh-CN-liaoning-Xiaobei: F	-0.19516232357877072	zh	general	Default
Azure	zh-CN-sichuan-YunxiNeural	四川云希:男	zh-CN-sichuan-Yunxi: M	0.1340265755094734	zh	general	Default
Azure	zh-CN-shandong-YunxiangNeural	山东云翔:男	zh-CN-shandong-Yunxiang: M	-0.5999715861266424	zh	general	Default
Azure	zh-CN-henan-YundengNeural	河南云登:男	zh-CN-henan-Yundeng: M	-0.7052188637440295	zh	general	Default
Azure	yue-CN-XiaoMinNeural	粤语晓敏:女	yue-CN-XiaoMin: F	-0.09341826251970176	zh	general	Default
Azure	yue-CN-YunSongNeural	粤语云松:男	yue-CN-YunSong: M	-1.5768766741122988	zh	general	Default
Azure	en-GB-SoniaNeural	Sonia:英女	en-GB-Sonia: F	-4.160122262204315	en	general,cheerful,sad	Default
Azure	en-GB-LibbyNeural	Libby:英女	en-GB-Libby: F	-3.642711335849736	en	general	Default
Azure	en-GB-AbbiNeural	Abbi:英女	en-GB-Abbi: F	-1.2449998674482572	en	general	Default
Azure	en-GB-BellaNeural	Bella:英女	en-GB-Bella: F	-4.860768926985983	en	general	Default
Azure	en-GB-HollieNeural	Hollie:英女	en-GB-Hollie: F	-4.761040240064297	en	general	Default
Azure	en-GB-MaisieNeural	Maisie:英女	en-GB-Maisie: F	-1.0313176695743564	en	general	Default
Azure	en-GB-OliviaNeural	Olivia:英女	en-GB-Olivia: F	-5.593627254886162	en	general	Default
Azure	en-GB-RyanNeural	Ryan:英男	en-GB-Ryan: M	-2.3689833167375376	en	general	Default
Azure	en-GB-AlfieNeural	Alfie:英男	en-GB-Alfie: M	-0.8365250220321556	en	general	Default
Azure	en-GB-ElliotNeural	Elliot:英男	en-GB-Elliot: M	0.6650544916452823	en	general	Default
Azure	en-GB-EthanNeural	Ethan:英男	en-GB-Ethan: M	-3.0479903122677783	en	general	Default
Azure	en-GB-NoahNeural	Noah:英男	en-GB-Noah: M	-0.6620360848372044	en	general	Default
Azure	en-GB-OliverNeural	Oliver:英男	en-GB-Oliver: M	-0.5968566893250795	en	general	Default
Azure	en-GB-ThomasNeural	Thomas:英男	en-GB-Thomas: M	-0.9688610805237872	en	general	Default
Azure	en-US-AvaNeural	Ava:美女	en-US-Ava: F	-2.098051382472004	en	general	Default
