service	Voice	description_zh	description_en	avaliable_volume	primary_lang	style	role
Tencent	101031	智奎(通用男声)	智奎: zh-M	-9.21997703837247	zh	general	Default
Tencent	101052	智味(通用男声)	智味: zh-M	-9.401617964567485	zh	general	Default
Tencent	101053	智方(通用男声)	智方: zh-M	-8.670785425828988	zh	general	Default
Tencent	101054	智友(通用男声)	智友: zh-M	-9.223439621491101	zh	general	Default
Tencent	301000	爱小广(通用男声)	爱小广: zh-M	-6.37258944641753	zh	general	Default
Tencent	301001	爱小栋(通用男声)	爱小栋: zh-M	-6.667161399977688	zh	general	Default
Tencent	301002	爱小海(通用男声)	爱小海: zh-M	-6.6330199281053694	zh	general	Default
Tencent	301005	爱小章(通用男声)	爱小章: zh-M	-3.438484742266951	zh	general	Default
Tencent	301006	爱小峰(通用男声)	爱小峰: zh-M	-4.695208394012823	zh	general	Default
Tencent	301007	爱小亮(通用男声)	爱小亮: zh-M	-4.951820798685127	zh	general	Default
Tencent	301008	爱小博(通用男声)	爱小博: zh-M	-5.741335249568657	zh	general	Default
Tencent	301013	爱小康(通用男声)	爱小康: zh-M	-6.48403017499318	zh	general	Default
Tencent	301014	爱小辉(通用男声)	爱小辉: zh-M	-3.469874155605943	zh	general	Default
Tencent	301016	爱小阳(通用男声)	爱小阳: zh-M	-5.7568288631788676	zh	general	Default
Tencent	301017	爱小泉(通用男声)	爱小泉: zh-M	-6.404575818923735	zh	general	Default
Tencent	301018	爱小昆(通用男声)	爱小昆: zh-M	-5.569056122126856	zh	general	Default
Tencent	301019	爱小诚(通用男声)	爱小诚: zh-M	-9.257989745161153	zh	general	Default
Tencent	301025	爱小武(通用男声)	爱小武: zh-M	-5.13295845951999	zh	general	Default
Tencent	301029	爱小涛(通用男声)	爱小涛: zh-M	-6.768787930002315	zh	general	Default
Tencent	301034	爱小杭(对话男声)	爱小杭: zh-M	-8.900157209275065	zh	general	Default
Tencent	301036	爱小柯(对话男声)	爱小柯: zh-M	-8.931242325809974	zh	general	Default
Tencent	401002	智飞(活力男声)	智飞: zh-M	-7.945258636113017	zh	general	Default
Tencent	401004	智海(成熟男声)	智海: zh-M	-6.092532756168454	zh	general	Default
Tencent	401005	智凡(新闻男声)	智凡: zh-M	-6.84195837019052	zh	general	Default
Tencent	101019	智彤(粤语女声)	智彤: zh-F	-10.931755032105894	zh	general	Default
Tencent	101040	智川(四川女声)	智川: zh-F	-10.685630347119783	zh	general	Default
Tencent	101056	智林(东北男声)	智林: zh-M	-10.843147042007548	zh	general	Default
Tencent	101051	WeRose(英文女声)	WeRose: en-F	-12.34579340499551	en	general	Default
Tencent	101050	WeJack(英文男声)	WeJack: en-M	-11.619483379907464	en	general	Default
